title,alias,artists,artist_aliases,country,genre,language,duration,notes,release_year,release_month
Marry Me,,No Doubt,,USA,Pop,English,277,Pop,2023,5
Dark Blue,,No Doubt,,USA,Pop,English,275,POp,2000,4
What's your name?,,4minute,,Korea,Kpop,Korean,186,K,,
Get On The Floor,,4minute,,Korea,Kpop,Korean,105,K,2012,4
No Love,,4minute,,Korea,Kpop,Korean,195,K,2016,2
Blind,,4minute,,Korea,Kpop,Korean,240,K,2016,2
Canvas,,4minute,,Korea,Kpop,Korean,216,K,2016,2
Miami Disco,,Perturbator,,France,Dark synthwave,,271,Fx,2018,
1982,,"Miss Kittin, The Hacker",,France,Electroclash,English,319,Fx,,
1000 Dreams,,"Miss Kittin, The Hacker",,France,Electroclash,English,327,Fx,2009,3
Frank Sinatra,,"Miss Kittin, The Hacker",,France,Electroclash,English,235,Fx,2006,
Life on MTV,,"Miss Kittin, The Hacker",,France,Electroclash,English,265,Fx,2001,10
Bassline,,Miss Kittin,,France,Electroclash,English,216,Fx,2013,4
Inutile Éternité,Inutile Éternité,"Miss Kittin, The Hacker",,France,Electroclash,French,328,Fx,,
Blue Grass,,Miss Kittin,,France,Electroclash,English,270,Fx,2013,
Stripper,,"Miss Kittin, The Hacker",,France,Electroclash,English,299,Fx,2001,10
Indulgence,,"Miss Kittin, The Hacker",,France,Electroclash,English,250,Fx,,
Machine Joy,,Miss Kittin,,France,Electroclash,English,212,Fx,,
Sunset Strip,,Miss Kittin,,France,Electroclash,English,182,Fx,,
The Womb,,"Miss Kittin, The Hacker",,France,Electroclash,English,347,Fx,,
Malade,,"Miss Kittin, The Hacker",,France,Electroclash,French,378,Fx,,
Silver Screen Shower Scene - Laurent Garnier Remix,,"Felix Da Housecat, Laurent Garnier",,,Electro,English,482,Fx,,
박수쳐,bagsuchyeo,2NE1,,Korea,Kpop,Korean,222,K,,
SCREAM,,2NE1,,Korea,Pop,Japanese,222,K,,
Don't Stop The Music,,2NE1,,Korea,Kpop,Korean,229,K,2012,12
COME BACK HOME,,2NE1,,Korea,Kpop,Korean,229,K,2014,4
GOTTA BE YOU,,2NE1,,Korea,Kpop,Korean,231,K,2024,12
멘붕 - CL SOLO,menbung - CL SOLO,2NE1,,Korea,Kpop,Korean,195,K,,
THE BADDEST FEMALE,,CL,,Korea,Kpop,Korean,223,K,2014,12
Get Outta My House,,"HyunA, Jung Yeol Kwon",,Korea,Kpop,Korean,202,K,,
Bubble Pop!,,HyunA,,Korea,Kpop,Korean,212,K,2011,7
Roll Deep (feat. Il Hoon Jung),,"HyunA, Il Hoon Jung",,Korea,Kpop,Korean,202,K,,
Red,,HyunA,,Korea,Kpop,Korean,199,K,,
BABE,,HyunA,,Korea,Kpop,Korean,193,K,2017,8
Freaky,,HyunA,,Korea,Kpop,Korean,197,K,,
"Party, Feel, Love (feat. DAWN)",,"HyunA, DAWN",,Korea,Kpop,Korean,209,K,,
Ice Ice (feat. Ji Dam Yook),,"HyunA, Ji Dam Yook",,Korea,Kpop,Korean,196,K,,
Run & Run (Intro),,HyunA,,Korea,Kpop,Korean,91,K,2015,8
Don't Recall,,KARD,,Korea,Kpop,Korean,208,K,2017,7
Hola Hola,,KARD,,Korea,Kpop,Korean,202,K,2017,7
You In Me,,KARD,,Korea,Kpop,Korean,203,K,2017,11
Dímelo,Dímelo,KARD,,Korea,Kpop,Korean,201,K,2018,7
Living Good (Special thanks to.),,KARD,,Korea,Kpop,Korean,215,K,2017,7
I can't stop,,KARD,,Korea,Kpop,Korean,229,K,,
I Don't Stop,,Zam,,Korea,Kpop,Korean,244,Ox,,
ENEMY,,KARD,,Korea,Kpop,Korean,175,K,2020,2
Moonlight,,KARD,,Korea,Kpop,Korean,199,K,2018,7
Lo Siento (feat. KARD),,"SUPER JUNIOR, KARD",,Korea,Kpop,Korean,226,K,,
Forces Of Viktry,,Linton Kwesi Johnson,,UK,Dub poetry,English,294,Reggae,2015,
Indapendent Intavenshan,,Linton Kwesi Johnson,,UK,Dub poetry,English,259,Reggae,,
Reality Poem,,Linton Kwesi Johnson,,UK,Dub poetry,English,284,Reggae,1981,
Reggae Sounds,,Linton Kwesi Johnson,,UK,Dub poetry,English,188,Reggae,1998,
Clampdown,,The Clash,,UK,Rock,English,229,Ox,,
The Guns of Brixton,,The Clash,,UK,Rock,English,189,Ox,,
Имя 505,Ymja 505,Время и Стекло,Vremja y Steklo,Ukraine,Hip-house,Russian,198,R/U,2015,12
Песня 404,Pesnja 404,Время и Стекло,Vremja y Steklo,Ukraine,Hip-house,Russian,213,R/U,2015,12
Back2Leto,,Время и Стекло,Vremja y Steklo,Ukraine,Hip-house,Russian,187,R/U,2017,
На Cтиле,Na Ctyle,Время и Стекло,Vremja y Steklo,Ukraine,Hip-house,Russian,225,R/U,,
Дим,Dym,Время и Стекло,Vremja y Steklo,Ukraine,Hip-house,Russian,197,R/U,2019,3
Навернопотомучто,Navernopotomuchto,Время и Стекло,Vremja y Steklo,Ukraine,Hip-house,Russian,190,R/U,2016,
Vislovo,,Время и Стекло,Vremja y Steklo,Ukraine,Hip-house,Russian,186,R/U,2019,7
Ритм 122,Rytm 122,Время и Стекло,Vremja y Steklo,Ukraine,Hip-house,Russian,263,R/U,2015,12
Опасно 220,Opasno 220,Время и Стекло,Vremja y Steklo,Ukraine,Hip-house,Russian,176,R/U,2015,12
Кружить - Repaired,Kruzhyt' - Repaired,MONATIK,,Ukraine,Pop,Ukrainian,198,R/U,,
Vitamin D - Repaired,,MONATIK,,Ukraine,Pop,Ukrainian,209,R/U,,
одасвобода,odasvoboda,MONATIK,,Ukraine,Pop,Ukrainian,154,R/U,,
夜,yoru,MUCC,,Japan,Jrock,Japanese,337,J,2013,10
絶望,zetsubou,MUCC,,Japan,Jrock,Japanese,263,J,2004,12
Libra,,MUCC,,Japan,Jrock,Japanese,294,J,,
Saishuuressha,,MUCC,,Japan,Jrock,Japanese,238,J,,
流星,ryuusei,MUCC,,Japan,Jrock,Japanese,279,J,2010,3
茫然自失,bouzen jishitsu,MUCC,,Japan,Jrock,Japanese,272,J,2008,12
KINSENKA,,MUCC,,Japan,Jrock,Japanese,273,K,,
25時の憂鬱,25 tokino yuuutsu,MUCC,,Japan,Jrock,Japanese,362,J,2007,11
