title,alias,artists,artist_aliases,country,genre,language,duration,notes
"流星",ryuusei,MUCC,,Japan,Jrock,Japanese,279,J
"茫然自失","bouzen jishitsu",MUCC,,Japan,Jrock,Japanese,272,J
KINSENKA,,MUCC,,Japan,Jrock,Japanese,273,K
"25時の憂鬱","25 tokino yuuutsu",MUCC,,Japan,Jrock,Japanese,362,J
"ファズ - ELECTRO CRUISIN' MIX","fazu  - ELECTRO CRUISIN' MIX",MUCC,,Japan,Jrock,Japanese,295,J
"月光",gekkou,MUCC,,Japan,Jrock,Japanese,238,J
GOKUSAI,,MUCC,,Japan,Jrock,Japanese,281,J
"Nageki dori to doukebito",,MUCC,,Japan,Jrock,Japanese,236,J
"Waga Arubekibasho",,MUCC,,Japan,Jrock,Japanese,285,J
"路地裏 僕と君へ","rojiura   boku to kun he",MUCC,,Japan,Jrock,Japanese,262,J
"輝く世界","kagayaku sekai",MUCC,,Japan,Jrock,Japanese,326,J
"赤線",akasen,MUCC,,Japan,Jrock,Japanese,188,J
"New York New York",,"Nina Hagen",,Germany,"New wave",German,317,
"Naturträne","Naturträne","Nina Hagen",,Germany,"New wave",German,198,
"Cosma Shiva",,"Nina Hagen",,Germany,"New wave",German,198,
"Born in Xixax",,"Nina Hagen",,Germany,"New wave",English,174,
"Future Is Now",,"Nina Hagen",,Germany,"New wave",German,175,
"Wir leben immer ... noch (Lucky Number)",,"Nina Hagen",,Germany,"New wave",German,294,
"TV-Glotzer (White Punks On Dope)",,"Nina Hagen",,Germany,"New wave",German,313,
Heiss,,"Nina Hagen",,Germany,"New wave",German,251,
"Unbeschreiblich Weiblich",,"Nina Hagen",,Germany,"New wave",German,210,
"Smack Jack",,"Nina Hagen",,Germany,"New wave",English,316,
"Beautiful Stranger",,f(x),,Korea,Kpop,Korean,248,K
"My Style",,f(x),,Korea,Kpop,Korean,222,K
Step,,f(x),,Korea,Kpop,Korean,215,K
